"Voracious Goblin","Swarm"
"Alpha Wolf","Beast"
"Shadow Wraith","Magical"
"Fire Imp","Elemental"
"Mud Troll","Brute"
"Frost Giant","Giant"
"Venomous Serpent","Beast"
"Dark Sorcerer","Humanoid"
"Banshee Queen","Undead"
"Cursed Mummy","Undead"
"Thunder Drake","Dragon"
"Ice Elemental","Elemental"
"Lava Golem","Construct"
"Chaos Demon","Demon"
"Spectral Knight","Undead"
"Plague Rat","Swarm"
"Ghostly Archer","Undead"
"Warrior Orc","Humanoid"
"Forest Nymph","Magical"
"Cave Spider","Beast"
"Ancient Wyrm","Dragon"
"Cyclops Brute","Giant"
"Poisonous Plant","Flora"
"Abyssal Fiend","Demon"
"Zombie Horde","Undead"
"Stone Sentinel","Construct"
"Skeletal Mage","Undead"
"Electric Eel","Beast"
"Fire Salamander","Elemental"
"Siren of Despair","Magical"
"Vampire Lord","Undead"
"Harpy Scream","Humanoid"
"Crimson Rogue","Humanoid"
"Magma Serpent","Elemental"
"Undead Pirate","Undead"
"Corrupted Paladin","Humanoid"
"Dire Bat","Beast"
"Armored Centaur","Humanoid"
"Infernal Incubus","Demon"
"Enchanted Treant","Flora"
"Griffon King","Magical"
"Time-Weaver","Magical"
"Night Stalker","Beast"
"Chained Spirit","Undead"
"Bloodthirsty Mermaid","Humanoid"
"Earthquake Worm","Beast"
"Mystic Djinn","Magical"
"Phantom Assassin","Undead"
"Demonic Harbinger","Demon"
"Clockwork Guardian","Construct"
"Death Reaper","Undead"
"Necrotic Lich","Undead"
"Silverback Gorilla","Beast"
"Shadow Stalker","Beast"
"Armored Basilisk","Dragon"
"Crystal Gargoyle","Construct"
"Blazing Phoenix","Elemental"
"Glacial Kraken","Beast"
"Twisted Dryad","Flora"
"Thunderhawk","Beast"
"Spiked Behemoth","Giant"
"Spectral Warden","Undead"
"Dreaded Chimera","Magical"
"Corrupted Angel","Humanoid"
"Lunar Witch","Humanoid"
"Golden Gryphon","Magical"
"Frostbite Scorpion","Beast"
"Haunted Marionette","Construct"
"Winged Serpent","Dragon"
"Cursed Samurai","Humanoid"
"Screeching Harpy","Humanoid"
"Black Widow","Beast"
"Lunar Moth","Swarm"
"Forest Spirit","Magical"
"Searing Efreet","Elemental"
"Swamp Leviathan","Beast"
"Radiant Valkyrie","Humanoid"
"Scourge Wight","Undead"
"Bloodthirsty Minotaur","Giant"
"Ethereal Banshee","Undead"
"Chimera Matriarch","Magical"
"Illusionary Trickster","Humanoid"
"Flamekeeper Elemental","Elemental"
"Corrupted Alchemist","Humanoid"
"Dire Pegasus","Magical"
"Fallen Archangel","Demon"
"Vampiric Bat Swarm","Swarm"
"Sand Elemental","Elemental"
"Twilight Satyr","Humanoid"
"Astral Naga","Magical"
"Demonic Kraken","Demon"
"Unholy Death Knight","Humanoid"
"Wandering Yeti","Giant"
"Cybernetic Scorpion","Construct"
"Lightning Jinn","Elemental"
"Phantom Banshee","Undead"
"Royal Griffin","Magical"
"Armored Demon","Demon"
"Murderous Wendigo","Beast"
"Crystal Dragon","Dragon"
"Water Elemental","Elemental"
"Enraged Cyclops","Giant"